"","Enrolled100s","CompositeScore","EA10","PovertyPct","GradRate","StudentTeacherRatio","AorE","Algebra","Biology","History","English"
"108",12.24,650,0,46,79,14.36,"Appointed",650,648,642,651
"109",36.26,653,0,39,70.5,15.6,"Appointed",653,652,648,650
"110",23.1,655,1,27,74.5,14.6,"Elected",655,654,649,654
"112",35.59,658,0,22,86,14.6,"Appointed",658,657,651,654
"114",19.3,657,0,33,84.5,14.78,"Appointed",657,660,651,651
"115",23.8,659,1,26,80,11.8,"Elected",659,654,651,653
"116",12.23,653,1,53,74.5,14.46,"Elected",653,648,644,648
"117",20.27,658,0,33,72.5,14.54,"Appointed",658,658,648,650
"118",193.82,655,1,16,83,14.77,"Elected",655,653,652,652
"119",7.3,647,0,33,81.5,13.39,"Appointed",647,647,650,648
"120",40.13,656.5,1,34,76,16.72,"Elected",655,651,650,650
"121",17.98,658,0,22,71.5,15.68,"Appointed",658,652,653,654
"122",4.93,648,0,51,90.5,12.13,"Appointed",648,651,651,649
"123",41.32,649,1,34,77.5,15.57,"Elected",649,646,646,646
"124",28.13,656,1,29,76,15.65,"Elected",656,652,652,652
"125",9.22,651,0,55,77.5,15.73,"Appointed",651,650,645,646
"127",18.03,659,0,44,86.5,15.48,"Appointed",659,652,647,648
"128",28.77,656,0,27,79,15.14,"Appointed",656,655,649,652
"129",42.81,654,0,38,75,15.68,"Appointed",654,651,648,652
"130",27.09,655,1,26,77.5,14.78,"Elected",655,652,651,653
"131",20.14,649,1,53,54.5,13.26,"Elected",649,644,638,641
"132",29.11,655,1,25,69.5,16.86,"Elected",655,652,646,650
"133",32.06,657,0,26,85.5,14.54,"Appointed",657,657,650,655
"134",23.96,652,1,47,57,13.71,"Elected",652,655,643,645
"136",28.39,658,1,22,81.5,15.67,"Elected",658,655,651,658
"137",10.47,662,0,28,84.5,16.45,"Appointed",662,659,649,653
"139",21.5,652,1,39,64,15.31,"Elected",652,648,647,648
"140",12.16,652,0,33,59,15.06,"Appointed",652,649,648,649
"141",34.53,656,1,32,71,16.46,"Elected",656,649,648,648
"142",18.99,660,1,28,87,15.34,"Elected",660,659,650,656
"143",7.63,654,0,50,74,14.99,"Appointed",654,649,641,650
"145",14.71,656,0,30,70,14.71,"Appointed",656,651,644,649
"146",32.35,654,0,37,74.5,17.02,"Appointed",654,650,645,647
"147",7.82,656,0,44,56,12.36,"Appointed",656,652,641,647
"148",12.87,657,1,42,61,14.02,"Elected",657,644,644,646
"149",11.57,657,0,41,83,15.46,"Appointed",657,653,650,653
"150",24.89,648,0,54,59,18.14,"Appointed",648,646,641,645
"151",16.96,656,1,38,69,15.27,"Elected",656,652,650,651
