District Code ,School Code,School Name,Grade,Number Enrolled
0200,022,KOSSUTH ELEMENTARY SCHOOL,Special Education Pre-K,*
0200,022,KOSSUTH ELEMENTARY SCHOOL,Kindergarten,98
0200,022,KOSSUTH ELEMENTARY SCHOOL,Special Education Kindergarten,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Elementary Special Education,*
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 1,118
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 2,111
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 3,109
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 4,90
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 5,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 6,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 7,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 8,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 9,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 10,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 11,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Grade 12,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Secondary Special Education,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Secondary GED,N/A
0200,022,KOSSUTH ELEMENTARY SCHOOL,Total Enrollment,526
0200,023,KOSSUTH MIDDLE SCHOOL,Pre-Kindergarten,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Special Education Pre-K,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Kindergarten,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Special Education Kindergarten,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Elementary Special Education,*
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 1,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 2,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 3,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 4,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 5,107
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 6,125
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 7,123
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 8,116
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 9,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 10,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 11,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Grade 12,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Secondary Special Education,*
0200,023,KOSSUTH MIDDLE SCHOOL,Secondary GED,N/A
0200,023,KOSSUTH MIDDLE SCHOOL,Total Enrollment,471
0200,024,KOSSUTH HIGH SCHOOL,Pre-Kindergarten,N/A
0200,024,KOSSUTH HIGH SCHOOL,Special Education Pre-K,N/A
0200,024,KOSSUTH HIGH SCHOOL,Kindergarten,N/A
0200,024,KOSSUTH HIGH SCHOOL,Special Education Kindergarten,N/A
0200,024,KOSSUTH HIGH SCHOOL,Elementary Special Education,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 1,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 2,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 3,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 4,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 5,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 6,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 7,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 8,N/A
0200,024,KOSSUTH HIGH SCHOOL,Grade 9,121
0200,024,KOSSUTH HIGH SCHOOL,Grade 10,108
0200,024,KOSSUTH HIGH SCHOOL,Grade 11,107
0200,024,KOSSUTH HIGH SCHOOL,Grade 12,97
0200,024,KOSSUTH HIGH SCHOOL,Secondary Special Education,*
0200,024,KOSSUTH HIGH SCHOOL,Secondary GED,*
0200,024,KOSSUTH HIGH SCHOOL,Total Enrollment,433
0200,028,RIENZI ELEMENTARY SCHOOL,Pre-Kindergarten,18
0200,028,RIENZI ELEMENTARY SCHOOL,Special Education Pre-K,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Kindergarten,25
0200,028,RIENZI ELEMENTARY SCHOOL,Special Education Kindergarten,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Elementary Special Education,N/A
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 1,17
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 2,19
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 3,22
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 4,15
0200,028,RIENZI ELEMENTARY SCHOOL,Grade 5,20
